[2025-07-08 13:47:39.609550] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:39.610789] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:39.612161] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:39.741140] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:39.742793] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.083456] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.085406] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.087066] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.088427] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.089870] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.149332] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.151228] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.247793] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.249765] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.251251] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.252732] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.253998] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.255144] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.256758] Blocked: Ether / IP / UDP / mDNS Qry b'_spotify-connect._tcp.local.' | Reason: Blocked Port 5353
[2025-07-08 13:47:40.282835] Blocked: Ether / IP / UDP 192.168.1.54:38518 > 239.255.255.250:ssdp / Raw | Reason: Blocked Port 1900
[2025-07-08 13:47:40.288295] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.289713] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.301516] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.305683] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.307794] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
